id;plate;type;age;serial_number
1;"\\-Y";niches Blanco Música;98942;soluciones vía
2;"h\-;";Krone Ladrillo Comunidad;57344;Borders Ngultrum
3;"}\-p";deposit calculate;66092;cultivateX
4;"4\-Y";quantifying;36529;Guapo Gorro Gerente
5;"I\-U";Algodón Atún;30378;Ergonómico toda Manzana
6;"K\-J";cross-platform;33393;Granito Representante
7;"@\-d";wireless program analizada;55172;optical Poblado
8;"g\-$";SabrosoXXX;54467;nivel wireless
9;"K\-#";Somalia incentivize port;2733;analizada Vatu XML
10;"B\-C";Municipio Investment;10105;deposit Amarillo
